sample	problems	Centre	BAMsize	Tophat	RSeQC	Filter	htseq-count	dexseq-count	WASP	RseQCwasp	WASPnonRef	Deduplicate	RseQCwaspNonRef	htseq-count-waspNR	Cufflinks	Cuffquant
15240		Edinburgh	11	3587	3653		5967		5139/5201/5332	5355	5393	6161/6212	5504	5595	3756	
15329		Cardiff		7478	7517		7543	7555			7668	7668	7668			
15468		Edinburgh	15	Done	3318	3484	5968		5142/5427	done	5894	6176/6292	5894	5894	3560	3446
15533		Exeter	19	4350	4367		5969		4965		5539	6994	6992	6993	4423	
15641		Exeter	18	3337	3528/3692		5971		5146/5423	running	5492	6177/6293	5616	5676	3844	
15655		Edinburgh	13	3411	3891		5972		5147/5375	5407	5586	6178/6213	5849	5851	3709	
15768		Edinburgh	18	Done	Done	3485	5973		5148/5494	5503	5898	6179/6294	5898	5898	3507	
16024		Exeter	16	3338	3529/3693		5974		5149/5449	5495	5587	6180/6295	5852	5853	3845	
16115		Exeter	16	3339	3531/3694		5975		5150/5424	5428	5719	6181/6296	5719	5719	3846	
16117		Cardiff		7479	7541		7553	7584			7667	7667	7667			
16286		Edinburgh	7	Done	Done	3486	5976		5151/5202/5209	5213	5733	6182/6214	5733	5733	3508	
16385		Exeter	11	3340	3532/3695		5977		5152		5727	7005	5727	5727	3847	
16428		Exeter		3341	3533/3696		5978		5153/5203/5208	5413	5798	6183/6215	5798	5798	3848	
16438		Edinburgh		Done	3312	3487	5979		5154/5412	5425	5812	6184/6297	5812	5812	3509	
16483		Edinburgh		3412	3434		5980		5155/5204/5207	5212	5896	6185/6216	5896	5896	3710	
16488		Edinburgh		Done	Done	3488	5981		5156/5388	5414	5805	6186/6298	5805	5805	3510	
16491		Exeter		3342	3534/3697		5982		5157		5429	6310/7004	6159	6160	3849	
16548		Exeter		3343	3535/3699		5983		5158		5505				3850	
16640		Edinburgh		3413	3565		5984		5159/5389	5408	5538	6187/6217	5828	5830	3711	
